type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-10-13 02:47:51,-33.91806735,151.23208153,3.34,45.823,22.180,0.736,294,44,47,,
T,2023-10-13 02:47:52,-33.91806142,151.23207379,3.45,45.795,22.180,0.823,255,45,48,,
T,2023-10-13 02:47:53,-33.91805878,151.23206903,3.58,45.714,22.180,1.044,260,45,48,,
T,2023-10-13 02:47:54,-33.91806491,151.23206343,3.56,45.652,22.180,1.052,302,45,48,,
T,2023-10-13 02:47:55,-33.91806514,151.23206423,3.61,45.818,22.180,0.644,301,45,48,,
T,2023-10-13 02:47:56,-33.91806339,151.23205610,3.61,45.945,22.180,0.689,302,45,48,,
T,2023-10-13 02:47:57,-33.91806275,151.23204907,3.64,46.028,22.180,0.758,293,45,48,,
T,2023-10-13 02:47:58,-33.91806489,151.23204474,4.20,46.154,22.180,0.775,273,45,47,,
T,2023-10-13 02:47:59,-33.91806773,151.23203899,4.63,46.298,22.180,0.766,222,45,47,,
T,2023-10-13 02:48:00,-33.91806999,151.23203358,4.55,46.445,22.180,0.750,241,45,47,,
T,2023-10-13 02:48:01,-33.91807104,151.23202388,4.59,46.647,22.180,0.672,248,45,47,,
T,2023-10-13 02:48:02,-33.91806978,151.23200861,4.74,46.899,22.180,0.633,268,45,47,,
T,2023-10-13 02:48:03,-33.91806701,151.23199113,4.67,47.049,22.180,0.763,261,44,46,,
T,2023-10-13 02:48:04,-33.91806486,151.23198026,4.44,47.176,22.180,0.816,258,44,46,,
T,2023-10-13 02:48:05,-33.91806545,151.23197457,4.57,47.315,22.180,0.563,261,44,46,,
T,2023-10-13 02:48:06,-33.91806340,151.23196522,4.69,47.467,22.180,0.654,291,44,46,,
T,2023-10-13 02:48:07,-33.91806082,151.23195325,4.61,47.404,22.180,0.930,287,44,46,,
T,2023-10-13 02:48:08,-33.91805584,151.23194341,4.29,47.367,22.180,1.019,287,45,46,,
T,2023-10-13 02:48:09,-33.91805589,151.23193689,4.47,47.511,22.180,0.662,288,45,46,,
T,2023-10-13 02:48:10,-33.91805418,151.23192973,4.69,47.692,22.180,0.783,253,45,46,,
T,2023-10-13 02:48:11,-33.91805473,151.23192347,4.62,47.893,22.180,0.836,279,45,46,,
T,2023-10-13 02:48:12,-33.91805258,151.23191976,4.77,48.132,22.180,0.672,269,45,46,,
T,2023-10-13 02:48:13,-33.91805400,151.23191273,4.90,48.273,22.180,0.689,272,45,46,,
T,2023-10-13 02:48:14,-33.91805332,151.23190306,4.90,48.485,22.180,0.676,273,45,46,,
T,2023-10-13 02:48:15,-33.91805162,151.23188821,4.93,48.519,22.180,0.847,281,45,46,,
T,2023-10-13 02:48:16,-33.91804789,151.23187668,4.70,48.624,22.180,0.910,296,45,46,,
T,2023-10-13 02:48:17,-33.91804590,151.23186590,4.70,48.603,22.180,0.861,288,45,46,,
T,2023-10-13 02:48:18,-33.91804447,151.23185528,4.70,48.687,22.180,0.674,286,45,46,,
T,2023-10-13 02:48:19,-33.91804398,151.23184609,4.70,48.830,22.180,0.695,284,45,46,,
T,2023-10-13 02:48:20,-33.91804272,151.23183874,4.70,48.846,22.180,0.784,283,45,46,,
T,2023-10-13 02:48:21,-33.91804153,151.23183094,4.70,48.892,22.180,0.790,273,45,46,,
T,2023-10-13 02:48:22,-33.91804033,151.23182277,4.70,48.902,22.180,0.780,278,45,46,,
T,2023-10-13 02:48:23,-33.91803963,151.23181556,4.87,48.918,22.180,0.741,286,45,46,,
T,2023-10-13 02:48:24,-33.91803699,151.23180620,4.87,48.929,22.180,0.669,285,45,46,,
T,2023-10-13 02:48:25,-33.91803291,151.23179753,4.74,48.995,22.180,0.735,269,45,46,,
T,2023-10-13 02:48:26,-33.91802880,151.23178842,4.64,48.983,22.180,1.022,281,45,46,,
